data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8974987,404,KEN8423,8423,"31 March 2022",2022,1,"Violence against civilians",Attack,"Somali Ethnic Militia (Kenya)",,4,"Civilians (Kenya)","Meru Ethnic Group (Kenya); Labour Group (Kenya)",7,47,"Eastern Africa",Kenya,Meru,"Tigania West",Akithii,"Tigania East",0.2,37.7833,1,"Daily Nation (Kenya); Citizen (Kenya)",National,"On 31 March 2022, suspected Somali ethnic militia shot and killed three charcoal dealers (believed to be of Meru ethnic) at Kiambogo area in Tigania east (Tigania West, Meru). The attack is believed to have been a retaliation for an earlier incident where a Meru militia is alleged to have shot and killed a 15-year-old herder from the Somali ethnic group on 30 March (coded separately).",3,1649098462,KEN
8975074,404,KEN8414,8414,"31 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Kenya)",,6,,,0,60,"Eastern Africa",Kenya,Nandi,Emgwen,Kilibwoni,"Kilibwoni Constituency",0.2167,35.2333,2,"Citizen (Kenya)",National,"On 31 March 2022, parents staged a protest for a second day by carrying twigs and chanting slogans at Kapchepsir Primary School near Kilibwoni Constituency (Emgwen, Nandi), against the poor results posted in the 2021 Kenya Certificate of Primary Examination (KCPE). The parents accused the teachers of laxity and absenteeism. [size=no report]",0,1649098463,KEN
8975168,404,KEN8417,8417,"31 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Kenya)","ODM: Orange Democratic Movement",6,,,0,60,"Eastern Africa",Kenya,Kisii,"Nyaribari Chache","Kisii Central",Kisii,-0.6833,34.7667,1,"The Star (Kenya)",National,"On 31 March 2022, a section of pro-Orange Democratic Movement (ODM) youth staged a protest by walking and chanting anti-Ongera slogans across the streets of Kisii town (Nyaribari Chache, Kisii), against the decision by the party to hand a direct ticket to the woman representative, Janet Ongera. The protestors supported Donya Toto. [size=no report]",0,1649098463,KEN
8974978,404,KEN8406,8406,"30 March 2022",2022,1,"Violence against civilians",Attack,"Pokot Ethnic Militia (Kenya)","Pastoralists (Kenya)",4,"Civilians (Kenya)",,7,47,"Eastern Africa",Kenya,Baringo,Mogotio,Kisanana,Mochongoi,0.0167,36.1,2,"Kenya Broadcasting Corporation; Citizen (Kenya)",National,"On 30 March 2022, suspected Pokot pastoral militia shot and killed three men, while three others sustained gunshot injuries, in Tandar village within Muchongoi ward (event coded to Mochongoi (Mogotio, Baringo).",3,1649098462,KEN
8974980,404,KEN8409,8409,"30 March 2022",2022,2,Protests,"Peaceful protest","Protesters (Kenya)","MUHURI: Muslims for Human Rights; Muslim Group (Kenya)",6,,,0,60,"Eastern Africa",Kenya,Kwale,Matuga,"Tsimba Golini",Kwale,-4.1738,39.4521,1,"K24; The Star (Kenya)",National,"Around 30 March 2022 (as reported), family members, joined by local residents, rights activists, civil society organizations including MUHURI, staged a protest in Kwale (Matuga, Kwale), against the disappearance of a man, Amani Mohammed Mwafujo also known as Saad (coded separately). They demanded that the government assist them locate him. [size=no report]",0,1649098462,KEN
8974986,404,KEN8422,8422,"30 March 2022",2022,1,"Violence against civilians",Attack,"Meru Ethnic Militia (Kenya)",,4,"Civilians (Kenya)","Somali Ethnic Group (Kenya); Pastoralists (Kenya)",7,47,"Eastern Africa",Kenya,Meru,"Tigania West",Akithii,"Tigania East",0.2,37.7833,1,"Citizen (Kenya); Daily Nation (Kenya)",National,"On 30 March 2022, suspected Meru ethnic militia shot and killed a 15 year old herder (believed to be of Somali) for allegedly crossing the border at Kiambogo area in Tigania east (Tigania West, Meru).",1,1649098462,KEN
8975079,404,KEN8415,8415,"30 March 2022",2022,1,Battles,"Armed clash","Pokot Ethnic Militia (Kenya)","Pastoralists (Kenya)",4,"Tugen Ethnic Militia (Kenya)","Pastoralists (Kenya)",4,44,"Eastern Africa",Kenya,Laikipia,"Laikipia West",Ol-moran,Ol-moran,0.5368,36.488,2,"Daily Nation (Kenya)",National,"On 30 March 2022, Pokot militia clashed with Tugen militia in Kamwenje area, near Ol-moran town (Laikipia West, Laikipia). Casualties unknown.",0,1649098463,KEN
8975164,404,KEN8395,8395,"30 March 2022",2022,1,Protests,"Peaceful protest","Protesters (Kenya)",,6,,,0,60,"Eastern Africa",Kenya,Bomet,"Bomet Central","Silibwet Township",Chepkositonik,-0.7333,35.3667,2,"The Star (Kenya)",National,"On 30 March 2022, parents staged a protest at Kapchepsir primary school near Chepkositonik (Bomet Central, Bomet), against the poor results posted in the 2021 Kenya Certificate of Primary Examination (KCPE). The parents demanded the immediate transfer of the school head. [size=no report]",0,1649098463,KEN
9105753,404,KEN8510,8510,"30 March 2022",2022,2,Riots,"Mob violence","Rioters (Kenya)","Meru Ethnic Group (Kenya)",5,"Civilians (Kenya)","Men (Kenya); Christian Group (Kenya)",7,57,"Eastern Africa",Kenya,Meru,"Tigania West",Nkomo,Nchiru,0.1325,37.7363,2,"Daily Nation (Kenya); Opera News (Kenya)",National,"Around 30 March 2022 (week of), Njuri Ncheke (Meru council of elders) abducted a pastor and dragged him into their shrine where he was undressed, arraigned naked and beaten for three hours at Kairakai village near Nchiru (Tigania West, Meru). It is alleged that the pastor had made enquiries why the elders had forcefully recruited one of his church members to the council. [size=no report] [sexual violence]",0,1650311549,KEN
9106004,404,KEN8527,8527,"30 March 2022",2022,2,"Violence against civilians",Attack,"Merrile Ethnic Militia (Ethiopia)",,4,"Civilians (Kenya)","Turkana Ethnic Group (Kenya)",7,47,"Eastern Africa",Kenya,Turkana,Kibish,Kibish,Kibish,4.9231,35.2744,2,"Kenya Standard",National,"Around 30 March 2022 (week of), suspected Merrile militia shot and killed five Turkana peace actors in the Todonyang and Kibish border villages, coded as Kibish (Kibish, Turkana). The motive for the attack is unknown.",5,1650311549,KEN
