event_id_cnty,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
KEN8415,30-Mar-22,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Tugen Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Laikipia,Laikipia West,Ol-moran,Ol-moran,0.5368,36.488,Daily Nation (Kenya),"On 30 March 2022, Pokot militia clashed with Tugen militia in Kamwenje area, near Ol-moran town (Laikipia West, Laikipia). Casualties unknown.",0
KEN8352,21-Mar-22,2022,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Lamu,Lamu East,Basuba,Baure,-1.723,40.9646,Star (Kenya),"On 21 March 2022, Kenya military forces ambushed a group of 4 suspected Al Shabaab militants at Sarira area, 25 km north of Baure (Lamu East, Lamu county). 2 militants were killed and 2 others managed to escape. Unknown number of guns were recovered from the militants.",2
KEN8384,20-Mar-22,2022,Battles,Armed clash,Al Shabaab,,2,Military Forces of Kenya (2013-),,Kenya,Mandera,Mandera North,Rhamu,Rhamu,3.9208,41.2192,Al Furqaan,"On 20 March 2022, overnight, suspected Al Shabaab militants attacked Kenya security forces in Rhamu (Mandera North, Mandera). Casualties unknown.",0
KEN8351,17-Mar-22,2022,Battles,Armed clash,Al Shabaab,,2,Military Forces of Kenya (2013-),,Kenya,Garissa,Hulugho,Hulugho,Hulugho,-1.15,41.0667,Calamada,"On 17 March 2022, Al Shabaab militants ambushed a Kenya security forces (KDF) convoy travelling between Garissa and Hulugho, near Hulugho town (Hulugho, Garissa). There were no fatalities",0
KEN8336,15-Mar-22,2022,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Samburu,Samburu Central,Maralal,Maralal,1.0968,36.698,People Daily; Star (Kenya),"On 15 March 2022, suspected Samburu pastoralists attacked Lodokojek police post near Maralal town (Samburu), and shot one police officer dead. The militia made away with four rifles and 200 bullets.",1
KEN8326,13-Mar-22,2022,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Wajir,Wajir East,Khorof,Khorof Harar,2.202,40.754,Al Furqaan,"On 13 March 2022, overnight, Al Shabaab militants attacked a base of security forces (assumed police) in Weel Caday village near Khorof Harar town (Khorof, Wajir). Casualties unknown.",0
KEN8316,11-Mar-22,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Baringo,Mogotio,Kisanana,Mochongoi,0.0167,36.1,Star (Kenya),"On 11 March 2022, suspected Pokot militia ambushed police officers on patrol at Kapkechir Ridge in Mochongoi (Mogotio, Baringo) leading to an armed clash. One officer was shot dead, while 3 others sustained injuries. The militants took away a G3 rifle, 60 bullets, body armor, and a ballistic helmet from the slain officer.",1
KEN8306,9-Mar-22,2022,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Lamu,Lamu East,Basuba,Milimani,-1.7758,40.8375,Star (Kenya); Citizen (Kenya),"On 9 March 2022, Kenya military forces ambushed the cell of suspected Al Shabaab militants at Milimani (Lamu East, Lamu county). One militant was killed, several others escaped with multiple injuries. One AK47 rifle and three magazines recovered from scene.",1
KEN8310,6-Mar-22,2022,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (2013-),,Kenya,Marsabit,Saku,Sagante,Gof Choba,2.4114,38.0297,Daily Nation (Kenya),"On 6 March 2022, unidentified gunmen attacked a Nairobi-bound bus, at Gof Choba area (Saku, Marsabit county), along the Moyale-Isiolo highway. One person was killed, and 4 others sustained injuries during the incident",1
KEN8233,26-Feb-22,2022,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Lamu,Lamu East,Basuba,Baure,-1.723,40.9646,Daily Nation (Kenya); Capital FM,"On 26 February 2022, Kenya military forces ambushed suspected Al Shabaab militants at Sarira area, 25 km north of Baure (Lamu East, Lamu county). 4 people were killed and several militants escaped to Somalia with multiple injuries.",4
KEN8234,26-Feb-22,2022,Battles,Armed clash,Marakwet Ethnic Militia (Kenya),Pastoralists (Kenya),4,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Elgeyo Marakwet,Marakwet East,Endo,Chesongoch,1.1333,35.6333,Daily Nation (Kenya); Star (Kenya),"On 26 February 2022, suspected Marakwet militia ambushed Pokot militia at Siromet grazing fields near Chesongoch (Marakwet East, Elgeyo Marakwet). The attackers made away with unknown number of animals. 8 people were killed, including two students.",8
KEN8216,21-Feb-22,2022,Battles,Armed clash,Al Shabaab,,2,Military Forces of Kenya (2013-),,Kenya,Lamu,Lamu West,Hindi,Bargoni,-2.0408,40.7913,Al Furqaan,"On 21 February 2022, suspected Al Shabaab militants attacked security forces (KDF) in Nasaarada village, near Bargoni town (Lamu county). Casualties unknown.",0
KEN8229,20-Feb-22,2022,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,Somali Memo,"On 20 February 2022, suspected Al Shabaab militants attacked security forces at a base in Amuume near Garissa (Garissa). Casualties unknown.",0
