event_date,season,event_id_cnty,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,country,admin1,admin2,admin3,location,latitude,longitude,source,notes,fatalities
03/30/2022,rainy,KEN8415,03/30/2022,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Tugen Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Laikipia,Laikipia West,Ol-moran,Ol-moran,0.5368,36.488,Daily Nation (Kenya),"On 30 March 2022, Pokot militia clashed with Tugen militia in Kamwenje area, near Ol-moran town (Laikipia West, Laikipia). Casualties unknown.",0
03/21/2022,rainy,KEN8352,03/21/2022,2022,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Lamu,Lamu East,Basuba,Baure,-1.723,40.9646,Star (Kenya),"On 21 March 2022, Kenya military forces ambushed a group of 4 suspected Al Shabaab militants at Sarira area, 25 km north of Baure (Lamu East, Lamu county). 2 militants were killed and 2 others managed to escape. Unknown number of guns were recovered from the militants.",2
03/20/2022,rainy,KEN8384,03/20/2022,2022,Battles,Armed clash,Al Shabaab,,2,Military Forces of Kenya (2013-),,Kenya,Mandera,Mandera North,Rhamu,Rhamu,3.9208,41.2192,Al Furqaan,"On 20 March 2022, overnight, suspected Al Shabaab militants attacked Kenya security forces in Rhamu (Mandera North, Mandera). Casualties unknown.",0
03/17/2022,rainy,KEN8351,03/17/2022,2022,Battles,Armed clash,Al Shabaab,,2,Military Forces of Kenya (2013-),,Kenya,Garissa,Hulugho,Hulugho,Hulugho,-1.15,41.0667,Calamada,"On 17 March 2022, Al Shabaab militants ambushed a Kenya security forces (KDF) convoy travelling between Garissa and Hulugho, near Hulugho town (Hulugho, Garissa). There were no fatalities",0
03/15/2022,rainy,KEN8336,03/15/2022,2022,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Samburu,Samburu Central,Maralal,Maralal,1.0968,36.698,People Daily; Star (Kenya),"On 15 March 2022, suspected Samburu pastoralists attacked Lodokojek police post near Maralal town (Samburu), and shot one police officer dead. The militia made away with four rifles and 200 bullets.",1
03/13/2022,rainy,KEN8326,03/13/2022,2022,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Wajir,Wajir East,Khorof,Khorof Harar,2.202,40.754,Al Furqaan,"On 13 March 2022, overnight, Al Shabaab militants attacked a base of security forces (assumed police) in Weel Caday village near Khorof Harar town (Khorof, Wajir). Casualties unknown.",0
03/11/2022,rainy,KEN8316,03/11/2022,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Baringo,Mogotio,Kisanana,Mochongoi,0.0167,36.1,Star (Kenya),"On 11 March 2022, suspected Pokot militia ambushed police officers on patrol at Kapkechir Ridge in Mochongoi (Mogotio, Baringo) leading to an armed clash. One officer was shot dead, while 3 others sustained injuries. The militants took away a G3 rifle, 60 bullets, body armor, and a ballistic helmet from the slain officer.",1
03/09/2022,rainy,KEN8306,03/09/2022,2022,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Lamu,Lamu East,Basuba,Milimani,-1.7758,40.8375,Star (Kenya); Citizen (Kenya),"On 9 March 2022, Kenya military forces ambushed the cell of suspected Al Shabaab militants at Milimani (Lamu East, Lamu county). One militant was killed, several others escaped with multiple injuries. One AK47 rifle and three magazines recovered from scene.",1
03/06/2022,rainy,KEN8310,03/06/2022,2022,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (2013-),,Kenya,Marsabit,Saku,Sagante,Gof Choba,2.4114,38.0297,Daily Nation (Kenya),"On 6 March 2022, unidentified gunmen attacked a Nairobi-bound bus, at Gof Choba area (Saku, Marsabit county), along the Moyale-Isiolo highway. One person was killed, and 4 others sustained injuries during the incident",1
02/26/2022,dry,KEN8233,02/26/2022,2022,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Lamu,Lamu East,Basuba,Baure,-1.723,40.9646,Daily Nation (Kenya); Capital FM,"On 26 February 2022, Kenya military forces ambushed suspected Al Shabaab militants at Sarira area, 25 km north of Baure (Lamu East, Lamu county). 4 people were killed and several militants escaped to Somalia with multiple injuries.",4
02/26/2022,dry,KEN8234,02/26/2022,2022,Battles,Armed clash,Marakwet Ethnic Militia (Kenya),Pastoralists (Kenya),4,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Elgeyo Marakwet,Marakwet East,Endo,Chesongoch,1.1333,35.6333,Daily Nation (Kenya); Star (Kenya),"On 26 February 2022, suspected Marakwet militia ambushed Pokot militia at Siromet grazing fields near Chesongoch (Marakwet East, Elgeyo Marakwet). The attackers made away with unknown number of animals. 8 people were killed, including two students.",8
02/21/2022,dry,KEN8216,02/21/2022,2022,Battles,Armed clash,Al Shabaab,,2,Military Forces of Kenya (2013-),,Kenya,Lamu,Lamu West,Hindi,Bargoni,-2.0408,40.7913,Al Furqaan,"On 21 February 2022, suspected Al Shabaab militants attacked security forces (KDF) in Nasaarada village, near Bargoni town (Lamu county). Casualties unknown.",0
02/20/2022,dry,KEN8229,02/20/2022,2022,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,Somali Memo,"On 20 February 2022, suspected Al Shabaab militants attacked security forces at a base in Amuume near Garissa (Garissa). Casualties unknown.",0
02/19/2022,dry,KEN8191,02/19/2022,2022,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Al Shabaab,,Kenya,Mandera,Mandera West,Takaba South,Takaba,3.3553,40.2228,Star (Kenya),"On 19 February 2022, police ambushed about 10 Al Shabaab militants at a watering point in Takaba (Mandera West, Mandera county). One officer was wounded while 3 militants killed as the rest managed to escape.",3
02/19/2022,dry,KEN8192,02/19/2022,2022,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,Kenya,Garissa,Fafi,Fafi,Fafi,-0.4209,40.2201,Star (Kenya),"On 19 February 2022, about 30 Al Shabaab militants attacked Amuma within Fafi (Fafi, Garissa county), before being repulsed by the police. Casualties unknown.",0
02/17/2022,dry,KEN8232,02/17/2022,2022,Battles,Armed clash,Unidentified Communal Militia (Kenya),,4,Unidentified Communal Militia (Kenya),,Kenya,Nairobi,Ruaraka,Utalii,Mathare,-1.2614,36.8608,Star (Kenya),"Around 17 February 2022 (as reported), two unidentified communal militias' clashed in Mathare slums (Ruaraka, Nairobi county), allegedly over a move to mount posters on the wall of a building in the area. One man was killed.",1
02/12/2022,dry,KEN8160,02/12/2022,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Private Security Forces (Kenya),,Kenya,Laikipia,Laikipia West,Ol-moran,Ol Ari Nyiro,0.5699,36.3982,Star (Kenya),"On 12 February 2022, over 10 suspected Pokot militia ambushed private security rangers in the Laikipia Nature and Conservancy, also known as Ol Ari Nyiro (Laikipia West, Laikipia county). One ranger was killed, and another injured during the incident",1
02/10/2022,dry,KEN8145,02/10/2022,2022,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Isiolo,Isiolo,Burat,Shab Hills,0.3971,37.5027,Daily Nation (Kenya),"On 10 February 2022, suspected Samburu militia ambushed police within Sarova Shaba national game reserve area (coded as Shab Hills, Isiolo, Isiolo county). A 45-year-old man was arrested. Some militia escaped with gunshot wounds. No fatalities reported.",0
02/09/2022,dry,KEN8127,02/09/2022,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Laikipia,Laikipia North,Segera,Ol Moran,0.4599,36.7556,Star (Kenya); NTV (Kenya); Twitter; Kenyans.co,"On 9 February 2022, suspected Pokot militia (believed to have stolen animals), clashed with police in Mlima Jangili camp near Ol Moran (Laikipia North, Laikipia County). One police officer died, another seriously wounded.",1
02/08/2022,dry,KEN8138,02/08/2022,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Samburu,Samburu Central,Maralal,Maralal,1.0968,36.698,Daily Nation (Kenya),"On 8 February 2022, police repulsed suspected Pokot militia, as they attempted to steal cattle in Maralal (Samburu central, Samburu county). The incident left one person seriously injured as the militia made away with property of unknown value.",0
02/03/2022,dry,KEN8118,02/03/2022,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Turkana,Turkana East,Kapedo,Napeitom,1.7323,36.0401,Citizen (Kenya); Daily Nation (Kenya),"On 3 February 2022, about 20 suspected Pokot pastoralist militia overpowered the police in a shoot out, as they attacked Napeitom village (Turkana East, Turkana county). A 30-year-old woman and a seven-year-old boy (grade 2 student) were killed and over 130 sheep and goats stolen during the incident.",2
02/03/2022,dry,KEN8190,02/03/2022,2022,Battles,Armed clash,Al Shabaab,,2,Military Forces of Kenya (2013-),,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,Somali Memo,"Around 3 February 2022 (as reported), Al Shabaab militants attacked Kenya security forces at a base near Mandera county, coded as Mandera (Mandera East, Mandera county). Casualties unknown.",0
02/01/2022,dry,KEN8111,02/01/2022,2022,Battles,Armed clash,Police Forces of Kenya (2013-),,1,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),Kenya,Baringo,Marigat,Mukutani,Kapindasum,0.4811,36.1793,Star (Kenya),"On 1 February 2022, police engaged suspected pokot pastoralist militia in an armed clash in Kapindasum (Marigat, Baringo county). Fatalities unknown, while 40 head of cattle previously stolen at Arabal river were recovered with the help of local residents.",0
01/31/2022,dry,KEN8108,01/31/2022,2022,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Isiolo,Isiolo,Burat,Loruko,0.5622,37.5209,Daily Nation (Kenya),"On 31 January 2022, suspected Samburu pastoralists attacked Loruko police post (Isiolo county), and shot one police officer dead. The militia made away with food items of unknown value as well as two rifles and rounds of ammunition.",1
01/30/2022,dry,KEN8100,01/30/2022,2022,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Marsabit,Laisamis,Laisamis,Laisamis,1.6,37.8,Daily Nation (Kenya),"On 30 January 2022, police repulsed over 20 presumed Samburu ethnic militias at Malgis area near Laisamis (Laisamis, Marsabit county). The militia had attempted to steal cows by laying ambush to a lorry transporting about 40 cows from Moyale bound for a slaughterhouse in Nairobi. Casualities unknown.",0
01/29/2022,dry,KEN8098,01/29/2022,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Baringo,Mogotio,Kisanana,Mochongoi,0.0167,36.1,NTV (Kenya); Citizen (Kenya); Twitter,"On 29 January 2022, police repulsed presumed Pokot pastoralist militia, as they attempted to attack Lamaiywe village in Mochongoi area (Mogotio, Baringo). Two people were critically injured during the incident.",0
01/28/2022,dry,KEN8085,01/28/2022,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Elgeyo Marakwet,Marakwet East,Endo,Chesongoch,1.1333,35.6333,Kenya Standard; Facebook; Citizen (Kenya),"On 28 January 2022, suspected Pokot pastoralists attacked Lukuget Secondary School, near Chesongoch (Marakwet East, Elgeyo Marakwet county), with the motive of stealing school goats. Police reservists, manning the school together with locals, managed to repulse the attackers.",0
01/28/2022,dry,KEN8097,01/28/2022,2022,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,Kenya,Laikipia,Laikipia North,Mugogodo West,Mukogodo,0.4833,36.9333,Citizen (Kenya); Twitter,"Around 28 January 2022 (week of), suspected Pokot militia engaged the police in an armed clash at Eawso Police station near Mukogodo (Laikipia North, Laikipia county). The militia took off with a rifle. There were no fatalities.",0
