OBJECTID,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1,8975079,404,KEN8415,8415,30-Mar-22,2022,1,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Tugen Ethnic Militia (Kenya),Pastoralists (Kenya),4,44,Eastern Africa,Kenya,Laikipia,Laikipia West,Ol-moran,Ol-moran,0.5368,36.488,2,Daily Nation (Kenya),National,"On 30 March 2022, Pokot militia clashed with Tugen militia in Kamwenje area, near Ol-moran town (Laikipia West, Laikipia). Casualties unknown.",0,1649098463,KEN
2,8918783,404,KEN8352,8352,21-Mar-22,2022,1,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Al Shabaab,,2,12,Eastern Africa,Kenya,Lamu,Lamu East,Basuba,Baure,-1.723,40.9646,2,Star (Kenya),National,"On 21 March 2022, Kenya military forces ambushed a group of 4 suspected Al Shabaab militants at Sarira area, 25 km north of Baure (Lamu East, Lamu county). 2 militants were killed and 2 others managed to escape. Unknown number of guns were recovered from the militants.",2,1648497327,KEN
3,9499888,404,KEN8384,8384,20-Mar-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Kenya (2013-),,1,12,Eastern Africa,Kenya,Mandera,Mandera North,Rhamu,Rhamu,3.9208,41.2192,1,Al Furqaan,Regional,"On 20 March 2022, overnight, suspected Al Shabaab militants attacked Kenya security forces in Rhamu (Mandera North, Mandera). Casualties unknown.",0,1664234557,KEN
4,9499890,404,KEN8351,8351,17-Mar-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Military Forces of Kenya (2013-),,1,12,Eastern Africa,Kenya,Garissa,Hulugho,Hulugho,Hulugho,-1.15,41.0667,2,Calamada,Regional,"On 17 March 2022, Al Shabaab militants ambushed a Kenya security forces (KDF) convoy travelling between Garissa and Hulugho, near Hulugho town (Hulugho, Garissa). There were no fatalities",0,1664234557,KEN
5,8910496,404,KEN8336,8336,15-Mar-22,2022,1,Battles,Armed clash,Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,1,14,Eastern Africa,Kenya,Samburu,Samburu Central,Maralal,Maralal,1.0968,36.698,2,People Daily; Star (Kenya),National,"On 15 March 2022, suspected Samburu pastoralists attacked Lodokojek police post near Maralal town (Samburu), and shot one police officer dead. The militia made away with four rifles and 200 bullets.",1,1647897722,KEN
6,9499892,404,KEN8326,8326,13-Mar-22,2022,1,Battles,Armed clash,Al Shabaab,,2,Police Forces of Kenya (2013-),,1,12,Eastern Africa,Kenya,Wajir,Wajir East,Khorof,Khorof Harar,2.202,40.754,2,Al Furqaan,Regional,"On 13 March 2022, overnight, Al Shabaab militants attacked a base of security forces (assumed police) in Weel Caday village near Khorof Harar town (Khorof, Wajir). Casualties unknown.",0,1664234557,KEN
7,8910772,404,KEN8316,8316,11-Mar-22,2022,1,Battles,Armed clash,Pokot Ethnic Militia (Kenya),Pastoralists (Kenya),4,Police Forces of Kenya (2013-),,1,14,Eastern Africa,Kenya,Baringo,Mogotio,Kisanana,Mochongoi,0.0167,36.1,2,Star (Kenya),National,"On 11 March 2022, suspected Pokot militia ambushed police officers on patrol at Kapkechir Ridge in Mochongoi (Mogotio, Baringo) leading to an armed clash. One officer was shot dead, while 3 others sustained injuries. The militants took away a G3 rifle, 60 bullets, body armor, and a ballistic helmet from the slain officer.",1,1647897723,KEN
8,8900451,404,KEN8306,8306,9-Mar-22,2022,1,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Al Shabaab,,2,12,Eastern Africa,Kenya,Lamu,Lamu East,Basuba,Milimani,-1.7758,40.8375,1,Star (Kenya); Citizen (Kenya),National,"On 9 March 2022, Kenya military forces ambushed the cell of suspected Al Shabaab militants at Milimani (Lamu East, Lamu county). One militant was killed, several others escaped with multiple injuries. One AK47 rifle and three magazines recovered from scene.",1,1647287810,KEN
9,8900547,404,KEN8310,8310,6-Mar-22,2022,1,Battles,Armed clash,Unidentified Armed Group (Kenya),,3,Police Forces of Kenya (2013-),,1,13,Eastern Africa,Kenya,Marsabit,Saku,Sagante,Gof Choba,2.4114,38.0297,2,Daily Nation (Kenya),National,"On 6 March 2022, unidentified gunmen attacked a Nairobi-bound bus, at Gof Choba area (Saku, Marsabit county), along the Moyale-Isiolo highway. One person was killed, and 4 others sustained injuries during the incident",1,1647287810,KEN
10,8893092,404,KEN8233,8233,26-Feb-22,2022,1,Battles,Armed clash,Military Forces of Kenya (2013-),,1,Al Shabaab,,2,12,Eastern Africa,Kenya,Lamu,Lamu East,Basuba,Baure,-1.723,40.9646,2,Daily Nation (Kenya); Capital FM,National,"On 26 February 2022, Kenya military forces ambushed suspected Al Shabaab militants at Sarira area, 25 km north of Baure (Lamu East, Lamu county). 4 people were killed and several militants escaped to Somalia with multiple injuries.",4,1646691987,KEN
