OBJECTID,data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
2,8975074,404,KEN8414,8414,31 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Nandi,Emgwen,Kilibwoni,Kilibwoni Constituency,0.2167,35.2333,2,Citizen (Kenya),National,"On 31 March 2022, parents staged a protest for a second day by carrying twigs and chanting slogans at Kapchepsir Primary School near Kilibwoni Constituency (Emgwen, Nandi), against the poor results posted in the 2021 Kenya Certificate of Primary Examination (KCPE). The parents accused the teachers of laxity and absenteeism. [size=no report]",0,1649098463,KEN
5,8974980,404,KEN8409,8409,30 March 2022,2022,2,Protests,Peaceful protest,Protesters (Kenya),MUHURI: Muslims for Human Rights; Muslim Group (Kenya),6,,,0,60,Eastern Africa,Kenya,Kwale,Matuga,Tsimba Golini,Kwale,-4.1738,39.4521,1,K24; The Star (Kenya),National,"Around 30 March 2022 (as reported), family members, joined by local residents, rights activists, civil society organizations including MUHURI, staged a protest in Kwale (Matuga, Kwale), against the disappearance of a man, Amani Mohammed Mwafujo also known as Saad (coded separately). They demanded that the government assist them locate him. [size=no report]",0,1649098462,KEN
8,8975164,404,KEN8395,8395,30 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Bomet,Bomet Central,Silibwet Township,Chepkositonik,-0.7333,35.3667,2,The Star (Kenya),National,"On 30 March 2022, parents staged a protest at Kapchepsir primary school near Chepkositonik (Bomet Central, Bomet), against the poor results posted in the 2021 Kenya Certificate of Primary Examination (KCPE). The parents demanded the immediate transfer of the school head. [size=no report]",0,1649098463,KEN
9,9105753,404,KEN8510,8510,30 March 2022,2022,2,Riots,Mob violence,Rioters (Kenya),Meru Ethnic Group (Kenya),5,Civilians (Kenya),Men (Kenya); Christian Group (Kenya),7,57,Eastern Africa,Kenya,Meru,Tigania West,Nkomo,Nchiru,0.1325,37.7363,2,Daily Nation (Kenya); Opera News (Kenya),National,"Around 30 March 2022 (week of), Njuri Ncheke (Meru council of elders) abducted a pastor and dragged him into their shrine where he was undressed, arraigned naked and beaten for three hours at Kairakai village near Nchiru (Tigania West, Meru). It is alleged that the pastor had made enquiries why the elders had forcefully recruited one of his church members to the council. [size=no report] [sexual violence]",0,1650311549,KEN
15,8975124,404,KEN8401,8401,29 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),UDA: United Democratic Alliance,5,Civilians (Kenya),ODM: Orange Democratic Movement; Azimio La Umoja Coalition,7,57,Eastern Africa,Kenya,Kiambu,Lari,Lari,Lari,-1.0167,36.6333,2,Opera News (Kenya),National,"On 29 March 2022, supporters of United Democratic Alliance (UDA) party chased away their Member of Parliament (MP), allegedly for supporting the Azimio La Umoja presidential candidate and Orange Democratic Movement party leader, Raila Odinga, in Nyambari, near Lari (Lari, Kiambu). [size=no report]",0,1649098463,KEN
19,8975085,404,KEN8398,8398,28 March 2022,2022,2,Protests,Peaceful protest,Protesters (Kenya),Taxi Drivers (Kenya),6,,,0,60,Eastern Africa,Kenya,Turkana,Turkana West,Kakuma,Kakuma,3.717,34.867,1,Daily Nation (Kenya),National,"Around 28 March 2022 (as reported), boda boda taxi operators staged a protest in Kakuma (Turkana West, Turkana) against fuel prices. [size=no report]",0,1649098463,KEN
22,8974976,404,KEN8386,8386,27 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),Journalists (Kenya),6,,,0,60,Eastern Africa,Kenya,Turkana,Turkana Central,Lodwar Township,Lodwar,3.1191,35.5973,1,Citizen (Kenya); Twitter; Kenya Broadcasting Corporation,New media-National,"On 27 March 2022, journalists staged a protest by marching and carrying placards in Lodwar town (Turkana Central, Turkana), against the alleged mistreatment by a section of employees in the governor's office. [size=no report]",0,1649098462,KEN
24,8975083,404,KEN8427,8427,26 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),,5,Civilians (Kenya),,7,57,Eastern Africa,Kenya,Narok,Narok South,Melelo,Nkoben,-0.9,35.6167,2,Daily Nation (Kenya),National,"On 26 March 2022, youth accosted the main petitioner in the Naroosura group ranch case and attempted to set ablaze his vehicle, at Naroosura, near Nkoben (Narok South, Narok). The victim was rescued by police. [size=no report]",0,1649098463,KEN
27,8975133,404,KEN8389,8389,26 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),,5,Private Security Forces (Kenya),Azimio La Umoja Coalition,8,58,Eastern Africa,Kenya,Kakamega,Mumias West,Mumias Central,Mumias,0.3351,34.4864,1,People Daily,National,"On 26 March 2022, unknown assailants attacked and injured a bodyguard (presumed private security forces) of one of the Azimio la Umoja leaders, during a rally in Bomani grounds, within Mumias (Mumias West, Kakamega). It is alleged that the bodyguard had tried to rescue a female colleague from the assailants who had attempted to snatch her gun. The Etenje Ward MCA aspirant and his supporters rescued the guard and placed him in a car to flee. [size=no report]",0,1649098463,KEN
28,8975174,404,KEN8400,8400,26 March 2022,2022,1,Protests,Protest with intervention,Protesters (Kenya),Students (Kenya),6,Police Forces of Kenya (2013-),,1,16,Eastern Africa,Kenya,Kisumu,Kisumu West,North West Kisumu,Maseno,-0.0042,34.6095,1,TUKO,National,"On 26 March 2022, university students staged a protest by blocking the Busia-Kisumu road (through unspecified means) at Maseno (Kisumu West, Kisumu), against the increasing insecurity cases at the university. Police intervened by lobbing tear gas canisters to disperse the students. [size=no report]",0,1649098463,KEN
29,8974979,404,KEN8408,8408,25 March 2022,2022,2,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Trans Nzoia,Endebess,Chepchoina,Chepchoina,1.1833,34.8,1,Kenya Broadcasting Corporation; NTV (Kenya),New media-National,"Around 25 March 2022 (as reported), a group of squatters staged a protest at Kapoto land, within the Chepchoina settlement scheme (Endebess, Trans Nzoia), against the conditions they have been living in without shelter. The group demanded the government to resettle them within a month. [size=no report]",0,1649098462,KEN
32,8975081,404,KEN8428,8428,25 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Isiolo,Merti,Chari,Kom,1.0833,38.0333,1,Daily Nation (Kenya),National,"On 25 March 2022, youth staged a protest in Kom Durte (Merti, Isiolo) against the rising cases of insecurity in the area. The group demanded the government to remove armed herders and enhance security along the Losesia-Kom route. [size=no report]",0,1649098463,KEN
33,8975106,404,KEN8413,8413,25 March 2022,2022,1,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Laikipia,Laikipia East,Thingithu,Nanyuki,0.0167,37.0667,2,K24,National,"On 25 March 2022, local residents blocked (through unspecified means) the Kenya Power company staff from taking down their transformer in Baraka area, Thingithu ward near Nanyuki (Laikipia East, Laikipia). No further information. [size=no report]",0,1649098463,KEN
38,8975169,404,KEN8396,8396,23 March 2022,2022,2,Protests,Peaceful protest,Protesters (Kenya),,6,,,0,60,Eastern Africa,Kenya,Siaya,Gem,Yala Township,Yala,0.0991,34.5376,1,The Star (Kenya),National,"Around 23 March 2022 (week of), members of the Yala Swamp Community staged a protest in Yala (Gem, Siaya) against claims that the Rai company has continued cultivating in the swamp, despite a court order prohibiting any activity. [size=no report]",0,1649098463,KEN
39,8975173,404,KEN8404,8404,23 March 2022,2022,1,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),Taxi Drivers (Kenya); Men (Kenya),7,57,Eastern Africa,Kenya,Kakamega,Mumias West,Mumias Central,Mumias,0.3351,34.4864,1,TUKO,National,"On 23 March 2022, a mob accosted a boda boda taxi operator, stripped him of his clothes and ordered him to go home in Ekoro area, within Mumias (Mumias West, Kakamega). It is alleged that the suspect had stolen Ksh 200 from a mama mboga (a female vegetable seller). [size=no report] [sexual violence]",0,1649098463,KEN
43,8918600,404,KEN8378,8378,22 March 2022,2022,2,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),,7,57,Eastern Africa,Kenya,Bungoma,Webuye West,Misikhu,Misikhu,0.7358,34.6898,2,Daily Nation (Kenya),National,"Around 22 March 2022 (as reported), a mob beat up and killed a 45-year-old man, before setting him and his motorcycle on fire in Lugulu Market near Misikhu (Webuye West, Bungoma), for allegedly stealing three sheep. [size=no report]",1,1648497327,KEN
45,8918786,404,KEN8366,8366,22 March 2022,2022,1,Riots,Violent demonstration,Rioters (Kenya),Labour Group (Kenya),5,,,0,50,Eastern Africa,Kenya,Kwale,Kinango,Kasemeni,Miritini,-4,39.5667,2,Star (Kenya),National,"On 22 March 2022, local residents staged a demonstration by chanting slogans and barricading an unspecified road with logs and twigs in Fulugani, near Miritini (Kinango, Kwale), demanding equal job opportunities at the construction site of the Mwache multipurpose dam project. [size=no report]",0,1648497327,KEN
46,8918593,404,KEN8353,8353,21 March 2022,2022,2,Riots,Mob violence,Rioters (Kenya),Vigilante Group (Kenya),5,Civilians (Kenya),,7,57,Eastern Africa,Kenya,Vihiga,Hamisi,Banja,Hamisi,0.0684,34.7975,2,Citizen (Kenya),National,"Around 21 March 2022 (as reported), local residents beat up and killed a 22-year-old man in Ganyamosi village near Hamisi (Hamisi Vihiga), for assaulting his wife. [size=no report]",1,1648497327,KEN
